produto_comercial,empresa,ingrediente_2,ingrediente
Ancosar 720,Sipcam Nichino Brasil S.A. - Uberaba/MG,MSMA (organoarsenico),msma (organoarsenico)
Aramo 200,Basf S.A. – Sao Paulo,tepraloxidim (oxima ciclohexanodiona),tepraloxidim (oxima ciclohexanodiona)
Arena,Stockton Agrimor do Brasil Ltda.,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Arrange,Dow Agrosciences Industrial Ltda. - Sao Paulo,"Glifosato Sal de Dimetilamina (glicina substituida) and 2,4_D Sal de Colina (acido ariloxialcanoico)","glifosato sal de dimetilamina (glicina substituida) and 2,4_d sal de colina (acido ariloxialcanoico)"
Arreio,Adama Brasil S.A. - Londrina,Fluroxipir-meptilico (Acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico),fluroxipir-meptilico (acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico)
Arreio Pasto,Adama Brasil S.A. - Londrina,Fluroxipir-meptilico (Acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico),fluroxipir-meptilico (acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico)
Arrow,Nortox S.A. - Arapongas,trifluralina (dinitroanilina),trifluralina (dinitroanilina)
Artys,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Artys BR,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Astral,Prentiss Química Ltda. - Campo Largo/PR,glifosato (glicina substituida),glifosato (glicina substituida)
Asulox 400,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,Asulam (sulfanililcarbamato),asulam (sulfanililcarbamato)
Atectra,Basf S.A. – Sao Paulo,Dicamba (Acido Benzóico),dicamba (acido benzóico)
Atraer WG,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,Atrazina (triazina),atrazina (triazina)
Atralhida,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,Atrazina (triazina),atrazina (triazina)
Atranex 500 SC,Adama Brasil S.A. - Londrina,Atrazina (triazina),atrazina (triazina)
Atranex WG,Adama Brasil S.A. - Londrina,Atrazina (triazina),atrazina (triazina)
Atrasimex 500 SC,Adama Brasil S.A. - Londrina,Atrazina (triazina) and simazina (triazina),atrazina (triazina) and simazina (triazina)
Atrasimex WG,Adama Brasil S.A. - Londrina,Atrazina (triazina) and simazina (triazina),atrazina (triazina) and simazina (triazina)
Atrazina and Nicosulfuron Nortox WG,Nortox S.A. - Arapongas,Atrazina (triazina) and nicossulfurom (sulfonilurea),atrazina (triazina) and nicossulfurom (sulfonilurea)
Atrazina 500 SC Alamos,Alamos do Brasil Ltda.,Atrazina (triazina),atrazina (triazina)
