Marca Comercial	Titular de Registro	Ingrediente Ativo(Grupo Químico)
Canion	Adama Brasil S.A. - Londrina	hexazinona (triazinona)
Capote	Tradecorp do Brasil Comércio de insumos Agrícolas Ltda	tebutiurom (uréia)
Capri	Adama Brasil S.A. - Londrina	2,4-D (ácido ariloxialcanóico)
Cardeal	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	fomesafem (éter difenílico)
Cartago	ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba	cletodim (oxima ciclohexanodiona)
Castle	Adama Brasil S.A. - Londrina	diurom (uréia) + MSMA (organoarsênico)
Celebrate	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	cletodim (oxima ciclohexanodiona) + quizalofope-P-etílico (ácido ariloxifenoxipropiônico)
Cenit Gat	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)
Census - GAT	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)
Centurion	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	cletodim (oxima ciclohexanodiona)
Chaparral	Dow Agrosciences Industrial Ltda. - São Paulo	Aminopiralide (ácido piridiniloxialcanóico) + metsulfurom-metílico (sulfoniluréia)
Chopper Florestal	Basf S.A. – São Paulo	imazapir (imidazolinona)
Classic	Du Pont do Brasil S.A. - Barueri (Alphaville)	clorimurom-etílico (sulfoniluréia)
Clean Spray	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	2,4-D amina (ácido ariloxialcanóico)
Cletodim CCAB 240 EC	CCAB Agro S.A. – São Paulo	cletodim (oxima ciclohexanodiona)
Cletodim Nortox	Nortox S.A. - Arapongas	cletodim (oxima ciclohexanodiona)
Clincher	Dow Agrosciences Industrial Ltda. - São Paulo	cialofope-butílico (ácido ariloxifenoxipropiônico)
Clipper Sinon	Sinon do Brasil Ltda. - Porto Alegre /RS.	clorimurom-etílico (sulfoniluréia)
Clomanex 500 EC	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)
Clomazone 500 EC FMC	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)
Clomom	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	clorimurom-etílico (sulfoniluréia)
Clorim	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	clorimurom-etílico (sulfoniluréia)
Clorimurom Nortox	Nortox S.A. - Arapongas	clorimurom-etílico (sulfoniluréia)
Clorimuron CCAB 250 WG	CCAB Agro S.A. – São Paulo	clorimurom-etílico (sulfoniluréia)
Clorimuron Master Nortox	Nortox S.A. - Arapongas	clorimurom-etílico (sulfoniluréia)
Clorimuron Prentiss	Prentiss Química Ltda. - Campo Largo/PR	clorimurom-etílico (sulfoniluréia)
Coact	Dow Agrosciences Industrial Ltda. - São Paulo	diclosulam (sulfonanilida triazolopirimidina)
Coliseo	ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba	Atrazina (triazina) + simazina (triazina)
Combine 500 SC	Proventis Lifescience Defensivos Agrícolas Ltda	tebutiurom (uréia)
Commence	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)
Compass	Albaugh Agro Brasil Ltda.- São Paulo	Ametrina (triazina)
Compete	Proventis Lifescience Defensivos Agrícolas Ltda	Mesotriona (Tricetona)
Confidence	Ouro Fino Química S.A. - Uberaba	diurom (uréia) + hexazinona (triazinona)
Conquest	Adama Brasil S.A. - Londrina	clorimurom-etílico (sulfoniluréia)
Contain	Basf S.A. – São Paulo	imazapir (imidazolinona)
Coriscobr	Ouro Fino Química S.A. - Uberaba	sulfentrazona (triazolona)
CoronelBR	Ouro Fino Química S.A. - Uberaba	metribuzim (triazinona)
Cortador 806 SL	AllierBrasil Agro Ltda.	2,4-D (ácido ariloxialcanóico)
Coyote	Adama Brasil S.A. - Londrina	Atrazina (triazina)
Coyote WG	Adama Brasil S.A. - Londrina	Atrazina (triazina)
Crater	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (ácido piridinocarboxílico) + 2,4-D (ácido ariloxialcanóico)
Credit	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	glifosato (glicina substituída)
Credit 480	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	glifosato (glicina substituída)
Creox	Sipcam Nichino Brasil S.A. - Uberaba/MG	sulfentrazona (triazolona)
Crescendo	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	Triclopir-butotílico (ácido piridiniloxialcanóico)
Creta	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	Fluroxipir-meptílico (ácido piridiniloxialcanóico) + picloram (ácido piridinocarboxílico)
Crucial	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	glifosato-sal de isopropilamina (glicina substituída) + glifosato-sal de potássio (glicina substituída)
Cultifix	Basf S.A. – São Paulo	imazapir (imidazolinona)
Daga	Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu	haloxifope-P-metílico (ácido ariloxifenoxipropiônico)
Danado	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (ácido piridinocarboxílico)
Decisive	Monsanto do Brasil Ltda - São Paulo	Glifosato-Sal de Di-amônio (glicina substituída)
Decorum	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	2,4-D-dimetilamina (ácido ariloxialcanóico)
DemolidorBR	Ouro Fino Química S.A. - Uberaba	diurom (uréia) + hexazinona (triazinona)
Dessecan	Adama Brasil S.A. - Londrina	MSMA (organoarsênico)
Dessicash	Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA	Dibrometo de diquate (bipiridílio)
Dessicash 200 SL	Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA	Dibrometo de diquate (bipiridílio)
Destro	Dow Agrosciences Industrial Ltda. - São Paulo	Aminopiralide (ácido piridiniloxialcanóico) + Fluroxipir-meptílico (ácido piridiniloxialcanóico) + picloram (ácido piridinocarboxílico)
Dexa WG	Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA	diurom (uréia) + hexazinona (triazinona)
Dez	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	2,4-D (ácido ariloxialcanóico)
Dez Gold	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	2,4-D sal sódico (ácido ariloxialcanóico)
Dicamax	Monsanto do Brasil Ltda - São Paulo	Dicamba (Ácido Benzóico)
Dihex	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	diurom (uréia) + hexazinona (triazinona)
Dinamaz 70 WG	FMC Química do Brasil Ltda. - Campinas	imazetapir (imidazolinona)
Dinamic	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	amicarbazona (triazolinona)
Dinaxine	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	2,4-D amina (ácido ariloxialcanóico)
Diox	Ouro Fino Química S.A. - Uberaba	diurom (uréia)
Diquash 200 SL	Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA	Dibrometo de diquate (bipiridílio)
Diquat 200 SL Rainbow	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	Dibrometo de diquate (bipiridílio)
Diquat CCAB 200 SL	CCAB Agro S.A. – São Paulo	Dibrometo de diquate (bipiridílio)
Direct	Monsanto do Brasil Ltda - São Paulo	glifosato-sal de amônio (glicina substituída)
Direx 500 SC	Adama Brasil S.A. - Londrina	diurom (uréia)
Discover 500 WP	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona) + hexazinona (triazinona)
Disparo	Dow Agrosciences Industrial Ltda. - São Paulo	picloram (ácido piridinocarboxílico) + 2,4-D-dimetilamina (ácido ariloxialcanóico)
Disparo Ultra	Dow Agrosciences Industrial Ltda. - São Paulo	Aminopiralide (ácido piridiniloxialcanóico) + 2,4-D-dimetilamina (ácido ariloxialcanóico)
Diurex Agricur 500 SC	Adama Brasil S.A. - Londrina	diurom (uréia)
Diurex Agricur 800 SC	Adama Brasil S.A. - Londrina	diurom (uréia)
Diurex WG	Adama Brasil S.A. - Londrina	diurom (uréia)
Diuron 500 SC Milenia	Adama Brasil S.A. - Londrina	diurom (uréia)
Diuron 500 SC Rainbow	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	diurom (uréia)
Diuron Fersol 500 SC	Ameribrás Indústria e Comércio Ltda.	diurom (uréia)
Diuron JI 500 SC	Iharabras S.A. Indústria Químicas - Sorocaba	diurom (uréia)
Diuron Nortox	Nortox S.A. - Arapongas	diurom (uréia)
Diuron Nortox 500 SC	Nortox S.A. - Arapongas	diurom (uréia)
Dizone	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	diurom (uréia) + hexazinona (triazinona)
DMA 806 BR	Dow Agrosciences Industrial Ltda. - São Paulo	2,4-D-dimetilamina (ácido ariloxialcanóico)
Doble	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	Acifluorfem-sódico (éter difenílico) + bentazona (benzotiadiazinona)
Dominum	Dow Agrosciences Industrial Ltda. - São Paulo	Aminopiralide (ácido piridiniloxialcanóico) + Fluroxipir-meptílico (ácido piridiniloxialcanóico)
Dominum XT	Dow Agrosciences Industrial Ltda. - São Paulo	Aminopiralide (ácido piridiniloxialcanóico) + picloram (ácido piridinocarboxílico) + Triclopir-butotílico (ácido piridiniloxialcanóico)
Dontor	Dow Agrosciences Industrial Ltda. - São Paulo	picloram (ácido piridinocarboxílico) + 2,4-D (ácido ariloxialcanóico)
Dorado	Adama Brasil S.A. - Londrina	Triclopir-butotílico (ácido piridiniloxialcanóico)
Douro 750 WG	Albaugh Agro Brasil Ltda.- São Paulo	hexazinona (triazinona)
Draxx	Ouro Fino Química S.A. - Uberaba	sulfentrazona (triazolona)
Drible	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	lactofem (éter difenílico)
Dropp Ultra SC	Bayer S.A. - São Paulo/ SP	diurom (uréia) + tidiazurom (uréia)
Druid 750 WG	Rotam do Brasil Agroquímica e Produtos Agrícolas Ltda.	hexazinona (triazinona)
Dual Gold	Syngenta Proteção de Cultivos Ltda. – São Paulo	metolacloro (cloroacetanilida)
Dual Gold 915 EC	Syngenta Proteção de Cultivos Ltda. – São Paulo	S-metolacloro (cloroacetanilida)
Dublon SC	Avgust Crop Protection Importação e Exportação Ltda.	nicossulfurom (sulfoniluréia)
Duo	Prentiss Química Ltda. - Campo Largo/PR	diurom (uréia) + hexazinona (triazinona)
Duozina	Agro Import do Brasil Ltda.	Atrazina (triazina) + simazina (triazina)
Egan	Albaugh Agro Brasil Ltda.- São Paulo	Dibrometo de diquate (bipiridílio)
Electro	Ouro Fino Química S.A. - Uberaba	clomazona (isoxazolidinona)
Enlist Colex-D	Dow Agrosciences Industrial Ltda. - São Paulo	2,4-D Sal de Colina (ácido ariloxialcanóico)
Enlistduo Colex-D	Dow Agrosciences Industrial Ltda. - São Paulo	Glifosato Sal de Dimetilamina (glicina substituída) + 2,4-D Sal de Colina (ácido ariloxialcanóico)
Entoar	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	tebutiurom (uréia)
Envoke	Syngenta Proteção de Cultivos Ltda. – São Paulo	trifloxissulfurom-sódico (sulfoniluréia)
Equip Plus	Bayer S.A. - São Paulo/ SP	foramsulfurom (sulfoniluréia) + iodosulfurom-metílico (sulfoniluréia)
Escudo	Adama Brasil S.A. - Londrina	clomazona (isoxazolidinona)
Escudo 500 EC	Adama Brasil S.A. - Londrina	clomazona (isoxazolidinona)
Esplanade	Bayer S.A. - São Paulo/ SP	indaziflam ( Alquilazina)
Esplanade Optima	Bayer S.A. - São Paulo/ SP	indaziflam ( Alquilazina) + Iodossulfurom-Metílico-Sódico (sulfoniluréia)
Exemplo	Albaugh Agro Brasil Ltda.- São Paulo	2,4-D-dimetilamina (ácido ariloxialcanóico)
Explorer 500 SC	FMC Química do Brasil Ltda. - Campinas	sulfentrazona (triazolona)
Extrazin SC	Oxon Brasil Defensivos Agrícolas Ltda.	Atrazina (triazina) + simazina (triazina)
Fabian WG	Avgust Crop Protection Importação e Exportação Ltda.	clorimurom-etílico (sulfoniluréia) + imazetapir (imidazolinona)
Facca	BRA Defensivos Agrícolas Ltda. (Piracicaba)	picloram (ácido piridinocarboxílico) + 2,4-D-trietanolamina (ácido ariloxialcanóico)
Facero SC	Iharabras S.A. Indústria Químicas - Sorocaba	Atrazina (triazina)
Facet	Basf S.A. – São Paulo	quincloraque (ácido quinolinocarboxílico)
Famoso	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (ácido piridinocarboxílico) + 2,4-D-trietanolamina (ácido ariloxialcanóico)
Farmozine	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	Atrazina (triazina)
Fascinate BR	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	Glufosinato - sal de amônio (homoalanina substituída)
Fason	Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA	nicossulfurom (sulfoniluréia)
Field	ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba	2,4-D-dimetilamina (ácido ariloxialcanóico)
Finale	Basf S.A. – São Paulo	Glufosinato - sal de amônio (homoalanina substituída)
Flak 200 SL	Cropchem Ltda	Paraquate (bipiridílio)
Flanker	Dow Agrosciences Industrial Ltda. - São Paulo	picloram (ácido piridinocarboxílico) + 2,4-d-triisopropanolamina (ácido ariloxialcanóico)
Flex	Syngenta Proteção de Cultivos Ltda. – São Paulo	fomesafem (éter difenílico)
Fluente	Ouro Fino Química S.A. - Uberaba	2,4-D-dimetilamina (ácido ariloxialcanóico)
Flumyzin 500	Sumitomo Chemical do Brasil Representações Ltda.	flumioxazina (ciclohexenodicarboximida)
Flumyzin 500 SC	Sumitomo Chemical do Brasil Representações Ltda.	flumioxazina (ciclohexenodicarboximida)
FONTFOP	Sinon do Brasil Ltda. - Porto Alegre /RS.	fluazifope-P-butílico (ácido ariloxifenoxipropiônico)
Fordor 750 WG	Bayer S.A. - São Paulo/ SP	isoxaflutol (isoxazol)
FortalezaBR	Ouro Fino Química S.A. - Uberaba	tebutiurom (uréia)
Freno 240 EC	Rotam do Brasil Agroquímica e Produtos Agrícolas Ltda.	cletodim (oxima ciclohexanodiona)
Front	Du Pont do Brasil S.A. - Barueri (Alphaville)	diurom (uréia) + hexazinona (triazinona) + sulfometurom-metílico (sulfoniluréia)
Fusiflex	Syngenta Proteção de Cultivos Ltda. – São Paulo	fluazifope-P-butílico (ácido ariloxifenoxipropiônico) + fomesafem (éter difenílico)
Fusilade 250 EW	Syngenta Proteção de Cultivos Ltda. – São Paulo	fluazifope-P-butílico (ácido ariloxifenoxipropiônico)
Fusta WG	Monsanto do Brasil Ltda - São Paulo	glifosato-sal de amônio (glicina substituída)
Galigan 240 EC	Adama Brasil S.A. - Londrina	oxifluorfem (éter difenílico)
Galigan 240 F	Adama Brasil S.A. - Londrina	oxifluorfem (éter difenílico)
Gallant Max	Dow Agrosciences Industrial Ltda. - São Paulo	haloxifope-P-metílico (ácido ariloxifenoxipropiônico)
Gallant R	Dow Agrosciences Industrial Ltda. - São Paulo	haloxifope-P-metílico (ácido ariloxifenoxipropiônico)
Galop M	Adama Brasil S.A. - Londrina	picloram (ácido piridinocarboxílico) + 2,4-D-trietanolamina (ácido ariloxialcanóico)
Gamit	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)
Gamit 360 CS	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)
Gamit 800 EC	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)
Gamit Star	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)
Gamonium	Sinon do Brasil Ltda. - Porto Alegre /RS.	Glufosinato - sal de amônio (homoalanina substituída)
Gardomil	Syngenta Proteção de Cultivos Ltda. – São Paulo	S-metolacloro (cloroacetanilida)
Garlon 480 BR	Dow Agrosciences Industrial Ltda. - São Paulo	Triclopir-butotílico (ácido piridiniloxialcanóico)
Genius WG	Oxon Brasil Defensivos Agrícolas Ltda.	Atrazina (triazina)
Gesagard 500 SC	Syngenta Proteção de Cultivos Ltda. – São Paulo	prometrina (triazina)
Gesamena	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	Ametrina (triazina)
Gesapax 500 Ciba-Geigy	Syngenta Proteção de Cultivos Ltda. – São Paulo	Ametrina (triazina)
Gesaprim 500 Ciba-Geigy	Syngenta Proteção de Cultivos Ltda. – São Paulo	Atrazina (triazina)
Gesaprim GrDa	Syngenta Proteção de Cultivos Ltda. – São Paulo	Atrazina (triazina)
Gladium	Bayer S.A. - São Paulo/ SP	etoxissulfurom (sulfoniluréia)
Gli Ouro	Ouro Fino Química S.A. - Uberaba	glifosato (glicina substituída)
Gli-Up 480 SL	Cropchem Ltda	glifosato-sal de isopropilamina (glicina substituída)
Gli-Up 720 WG	Cropchem Ltda	glifosato-sal de amônio (glicina substituída)
Gliall	BRA Defensivos Agrícolas Ltda. (Piracicaba)	glifosato (glicina substituída)
Gliato	Prentiss Química Ltda. - Campo Largo/PR	glifosato (glicina substituída)
Glif- All	Alamos do Brasil Ltda.	glifosato (glicina substituída)
Glifocopa 720 WG	COPALLIANCE - Cooperativa de Consumo de Produtos Agropecuários Ltda - Campinas	glifosato-sal de amônio (glicina substituída)
Glifoready	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	glifosato (glicina substituída)
Glifoready Nufarm	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	glifosato (glicina substituída)
Gliforte	Tundra Agroindustrial Ltda.	glifosato (glicina substituída)
Glifosal	Xingfa e Wenda do Brasil Ltda	glifosato-sal de isopropilamina (glicina substituída)
Glifosato 480 Agripec	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	glifosato (glicina substituída)
Glifosato 480 SL Alamos	Alamos do Brasil Ltda.	glifosato (glicina substituída)
Glifosato 72 WG Alamos	Alamos do Brasil Ltda.	glifosato-sal de amônio (glicina substituída)
Glifosato 720 WG Nortox	Nortox S.A. - Arapongas	glifosato (glicina substituída)
Glifosato Agripec 720 WG	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	glifosato-sal de amônio (glicina substituída)
Glifosato Alta 480 SL	ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba	glifosato (glicina substituída)
Glifosato Atanor	Albaugh Agro Brasil Ltda.- São Paulo	glifosato-sal de isopropilamina (glicina substituída)
Glifosato Atanor IV	Albaugh Agro Brasil Ltda.- São Paulo	glifosato (glicina substituída)
Glifosato Atar	Albaugh Agro Brasil Ltda.- São Paulo	glifosato (glicina substituída)
Glifosato Atar 48	Albaugh Agro Brasil Ltda.- São Paulo	glifosato (glicina substituída)
Glifosato CCAB 480 SL	CCAB Agro S.A. – São Paulo	glifosato (glicina substituída)
Glifosato CCAB BR	CCAB Agro S.A. – São Paulo	glifosato (glicina substituída)
Glifosato CHDs	CHDS do Brasil Comércio de Insumos Agrícolas Ltda	glifosato (glicina substituída)
Glifosato Fersol 480	Ameribrás Indústria e Comércio Ltda.	glifosato (glicina substituída)
Glifosato High Load	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	glifosato (glicina substituída)
Glifosato IPA 480 Rainbow	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	glifosato (glicina substituída)
Glifosato K Atanor	Albaugh Agro Brasil Ltda.- São Paulo	glifosato-sal de potássio (glicina substituída)
Glifosato Nortox	Nortox S.A. - Arapongas	glifosato (glicina substituída)
Glifosato Nortox 480 BR	Nortox S.A. - Arapongas	glifosato-sal de isopropilamina (glicina substituída)
Glifosato Nortox 480 SL	Nortox S.A. - Arapongas	glifosato (glicina substituída)
Glifosato Nortox SL	Nortox S.A. - Arapongas	glifosato (glicina substituída)
Glifosato Nortox WG	Nortox S.A. - Arapongas	glifosato (glicina substituída)
Glifosato Nuf BR	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	glifosato (glicina substituída)
Glifosato Soma 480 SL	CCAB Agro S.A. – São Paulo	glifosato-sal de isopropilamina (glicina substituída)
Glifosato TK	Albaugh Agro Brasil Ltda.- São Paulo	glifosato-sal de isopropilamina (glicina substituída)
Glifosato UPL 480 SL	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	glifosato-sal de isopropilamina (glicina substituída)
Glifosato Zamba	Albaugh Agro Brasil Ltda.- São Paulo	glifosato (glicina substituída)
Glifoxin	Helm do Brasil Mercantil Ltda	glifosato (glicina substituída)
Glint	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	haloxifope-P-metílico (ácido ariloxifenoxipropiônico)
Glister	Sinon do Brasil Ltda. - Porto Alegre /RS.	glifosato-sal de isopropilamina (glicina substituída)
Glizmax	Dow Agrosciences Industrial Ltda. - São Paulo	glifosato-sal de isopropilamina (glicina substituída)
Glizmax Prime	Dow Agrosciences Industrial Ltda. - São Paulo	glifosato (glicina substituída)
Glucare	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	Glufosinato - sal de amônio (homoalanina substituída)
Glufosinate-Ammonium 200 SL Yonon	Yonon Biociências e Defensivos Agrícolas Ltda.	Glufosinato - sal de amônio (homoalanina substituída)
Glyphon	Nortox S.A. - Arapongas	glifosato (glicina substituída)
Glyphotal TR	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	glifosato (glicina substituída)
Glyphotal WG	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	glifosato (glicina substituída)
Glyweed	Sabero Organics América S.A.	glifosato (glicina substituída)
Goal BR	Dow Agrosciences Industrial Ltda. - São Paulo	oxifluorfem (éter difenílico)
Goltix	Adama Brasil S.A. - Londrina	metamitrona (triazinona)
Gopan	Syngenta Proteção de Cultivos Ltda. – São Paulo	Dibrometo de diquate (bipiridílio)
Gramocil	Syngenta Proteção de Cultivos Ltda. – São Paulo	diurom (uréia) + dicloreto de paraquate (bipiridílio)
Gramoking	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	dicloreto de paraquate (bipiridílio)
Gramoxone 200	Syngenta Proteção de Cultivos Ltda. – São Paulo	dicloreto de paraquate (bipiridílio)
GrandeBR	Ouro Fino Química S.A. - Uberaba	clomazona (isoxazolidinona)
Grandus WG	Cropchem Ltda	Atrazina (triazina) + nicossulfurom (sulfoniluréia)
Grant	BRA Defensivos Agrícolas Ltda. (Piracicaba)	2,4-D (ácido ariloxialcanóico)
Graslan 100 Peletizado	Proventis Lifescience Defensivos Agrícolas Ltda	tebutiurom (uréia)
Grassato 480 SL	BRA Defensivos Agrícolas Ltda. (Piracicaba)	glifosato (glicina substituída)
Greener	Albaugh Agro Brasil Ltda.- São Paulo	metribuzim (triazinona)
Grifo	Prentiss Química Ltda. - Campo Largo/PR	nicossulfurom (sulfoniluréia)
Guerrero	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	amicarbazona (triazolinona) + diurom (uréia) + hexazinona (triazinona)
Gulliver	FMC Química do Brasil Ltda. - Campinas	azimsulfurom (sulfoniluréia)
Gunner	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	Acifluorfem-sódico (éter difenílico) + bentazona (benzotiadiazinona)
Haloxifop CCAB 124,7 EC	CCAB Agro S.A. – São Paulo	haloxifope-P-metílico (ácido ariloxifenoxipropiônico)
Heat	Basf S.A. – São Paulo	saflufenacil (pirimidinadiona)
Helmoquat	Helm do Brasil Mercantil Ltda	Dibrometo de diquate (bipiridílio)
Helmoxone	Helm do Brasil Mercantil Ltda	dicloreto de paraquate (bipiridílio)
Herbadox 400 EC	Basf S.A. – São Paulo	pendimetalina (dinitroanilina)
Herbi D-480	Adama Brasil S.A. - Londrina	2,4-D-dimetilamina (ácido ariloxialcanóico)
Herbicana	Nortox S.A. - Arapongas	diurom (uréia) + hexazinona (triazinona)
Herbimix SC	Adama Brasil S.A. - Londrina	Atrazina (triazina) + simazina (triazina)
Herbimix WG	Adama Brasil S.A. - Londrina	Atrazina (triazina) + simazina (triazina)
Herbipak 500 BR	Adama Brasil S.A. - Londrina	Ametrina (triazina)
Herbipak WG	Adama Brasil S.A. - Londrina	Ametrina (triazina)
Herbipropanin	Adama Brasil S.A. - Londrina	propanil (anilida)
Herbipropanin 450 EC	Adama Brasil S.A. - Londrina	propanil (anilida)
Herbitrin 500 BR	Adama Brasil S.A. - Londrina	Atrazina (triazina)
Herbitrin WG	Adama Brasil S.A. - Londrina	Atrazina (triazina)
Herburon 500 BR	Adama Brasil S.A. - Londrina	diurom (uréia)
Herburon WG	Adama Brasil S.A. - Londrina	diurom (uréia)
Herbzina	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	Atrazina (triazina)
Herbzina Plus	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	Atrazina (triazina)
Hexafort	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	hexazinona (triazinona)
Hexanil 750 WG	Rotam do Brasil Agroquímica e Produtos Agrícolas Ltda.	hexazinona (triazinona)
Hexaplus	Ouro Fino Química S.A. - Uberaba	clomazona (isoxazolidinona) + hexazinona (triazinona)
Hexaron	Adama Brasil S.A. - Londrina	diurom (uréia) + hexazinona (triazinona)
Hexaron WG	Adama Brasil S.A. - Londrina	diurom (uréia) + hexazinona (triazinona)
Hexazinona - D Nortox	Nortox S.A. - Arapongas	diurom (uréia) + hexazinona (triazinona)
Hexazinona 750 Volcano	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	hexazinona (triazinona)
Hexazinona 750 WG Cropchem	Cropchem Ltda	hexazinona (triazinona)
Hexazinona Nortox	Nortox S.A. - Arapongas	hexazinona (triazinona)
Hexazinona Nortox SL	Nortox S.A. - Arapongas	hexazinona (triazinona)
Hexazinone 250 SL BASE	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	hexazinona (triazinona)
Hexazinone UPL 250 SL	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	hexazinona (triazinona)
Hexazuron	Agro Import do Brasil Ltda.	diurom (uréia) + hexazinona (triazinona)
Hexicana	Nortox S.A. - Arapongas	hexazinona (triazinona)
Hussar	Bayer S.A. - São Paulo/ SP	iodosulfurom-metílico (sulfoniluréia)
Imazaquim Ultra Nortox	Nortox S.A. - Arapongas	imazaquim (imidazolinona)
Imazet 70 WG	FMC Química do Brasil Ltda. - Campinas	imazetapir (imidazolinona)
Imazetapir 106 BR	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	imazetapir (imidazolinona)
Imazetapir CCAB 106 SL	CCAB Agro S.A. – São Paulo	imazetapir (imidazolinona)
Imazetapir Plus Nortox	Nortox S.A. - Arapongas	imazetapir (imidazolinona) + imazetapir (imidazolinona)
Imazetapir Prentiss	Prentiss Química Ltda. - Campo Largo/PR	imazetapir (imidazolinona)
Intruder	Dow Agrosciences Industrial Ltda. - São Paulo	picloram (ácido piridinocarboxílico) + 2,4-D (ácido ariloxialcanóico)
Invest	Basf S.A. – São Paulo	ciclossulfamurom (sulfoniluréia)
Irado 800 WG	Cropchem Ltda	diurom (uréia)
Jacaré	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (ácido piridinocarboxílico) + 2,4-D (ácido ariloxialcanóico)
