id_herb	produto_comercial	empresa	ingrediente	link	registro	dose_(g/L)_(g/kg)	equivalente_acido	Formulacao	soja	soja_dessecação	soja_omg	soja_spd	milho	milho_ogm	milho_spd	algodão_spd	algodão_ogm	algodão	sorgo	algodão_ogm	café_spd	café	trigo_spd	trigo	gramíneas_forrageiras	arroz	arroz_sequeiro	arroz_irrig_spd	arroz_irrigado	arroz_spd	feijão	aveia_preta	Feijão_spd	feijão_vagem	feijão_fava	feijão_guandu	feijão_mungo	feijão_caupi	grão_de_bico	azevém	aveia	lentilha	cana_spd	cana_soca	cana_maturação	Cana_dessecação	cana_roughing	cana	aveia_preta	mandioca	pastagem_spd	pastagem	vazio_sanitário	manejo_outonal	amendoim	centeio	cevada	canola	abacaxi	citros	citros_spd	melão	eucalipto_implantação_da_flores	Eucalipto_Rebrote	eucalipto	pinus_implantação_da_flores	pinus	seringueira	acácia_negra	estrelicia	girassol	quiabo	tomate	alho	banana	cebola	cenoura	batata_dessecação	batata	alface	repolho	jiló	pimenta	pimentão	brocolis	couve-flor	beterraba	batata-doce	berinjela	batata-salsa	fumo	morango	camomila	gengibre	batata_yacon	alfafa	salsa	coentro	braquiaria	aveia	milheto	inhame	ervilha	sorgo	caju	goiaba	manga	mangaba	pera	uva	maçã	ameixa	mamão	melancia	pessego	nectarina	dendê	duboisia	triticale	crisântemo	centeio	cacau	não_agrícola	seringueira	escarola	sisal	côco	momona	caqui	açaí	cará	nabo	mandioquinha-salsa	carambola	rabanete	figo	castanha_do_pará	macadâmia	pinhão	noz_pecã	pupunha	gladíolo	vagem	área_de_pousio	área_não_cultivada	abacate	gramados	espinafre	manejo_outonal	rosa	todas_as_culturas_com_ocorrência_do_alvo_biológico	tabaco	tratamento_do_solo
18	Acillatem	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	lactofem (eteretilica)	https://www.agrolink.com.br/agrolinkfito/produto/acillatem_7992.html	11908	240		Concentrado Emulsionável (EC)	x																																																																																																																																																
19	Aclamado BR	Ouro Fino Química S.A. - Uberaba	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/aclamadobr_8582.html	712	500		 Suspensão Concentrada (SC)					x																																			x																																																					x			x																																																	
20	Actend	Syngenta Proteção de Cultivos Ltda. – Sao Paulo	trifloxissulfurom-sodico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/actend_8609.html	10911	750		Granulado Dispersível (WG)										x																														x																																																																																																									
21	Adifac	Basf S.A. – Sao Paulo	bentazona (benzotiadiazinona) + imazamoxi (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/adifac_10762.html	31718	600 + 28		Concentrado Solúvel (SL)																		x					x																								x																																																																																																		
22	Advance	Ouro Fino Química S.A. - Uberaba	diurom (ureia) + hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/advance_3001.html	1595	533 + 67		Granulado Dispersível (WG)																																								x																																																																																																									
23	Afalon 450 SC	Adama Brasil S.A. - Londrina	linurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/afalon-450-sc_8469.html	6010	450		Suspensão Concentrada (SC)																																										x																								x		x	x		x									x		x			x	x	x		x	x				x																																																			
24	Afalon SC	Adama Brasil S.A. - Londrina	linurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/afalon-sc_10.html	88507	450		Suspensão Concentrada (SC)																																										x																								x		x	x		x									x		x			x	x	x		x	x				x																																																			
25	Affinity 400 EC	FMC Química do Brasil Ltda. - Campinas	carfentrazona-etilica (triazolona)	https://www.agrolink.com.br/agrolinkfito/produto/affinity-400-ec_7246.html	1007	400		Concentrado Emulsionável (EC)	x				x					x				x							x																															x																			x																																																																										
26	Affinity 400 WP	FMC Química do Brasil Ltda. - Campinas	carfentrazona-etilica (triazolona)	https://www.agrolink.com.br/agrolinkfito/produto/affinity-400-wp_7412.html	6607	400		Pó molhável (WP)	x																																																																																																																																																
27	Agile	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	cletodim (oxima ciclohexanodiona) + haloxifope-P-metilico (Acido ariloxifenoxipropionico)	https://www.agrolink.com.br/agrolinkfito/produto/agile_10841.html	2019	240 + 123,6 + 120		Concentrado Emulsionável (EC)																																																									x		x																																																																																						
28	Agritone	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	MCPA (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/agritone_8399.html	2010	585,6		Concentrado Solúvel (SL)																x																	x							x									x																																																																																																
29	Aim	FMC Química do Brasil Ltda. - Campinas	carfentrazona-etilica (triazolona)	https://www.agrolink.com.br/agrolinkfito/produto/aim_8075.html	7806	400		Concentrado Emulsionável (EC)	x																																																																																																																																																
30	Alaclor + Atrazina SC Nortox	Nortox S.A. - Arapongas	Alacloro (cloroacetanilida) + Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/alaclor---atrazina-sc-nortox_4459.html	11601			Suspensão Concentrada (SC)					x																																			x																																																																																																									
31	Alaclor Nortox	Nortox S.A. - Arapongas	Alacloro (cloroacetanilida)	https://www.agrolink.com.br/agrolinkfito/produto/alaclor-nortox_2933.html	1038601	480		Concentrado Emulsionável (EC)	x				x					x				x																										x							x																																																																																																		
