id_herb	produto_comercial	empresa	ingrediente	link	registro	dose_(g/L)_(g/kg)	equivalente_acido	Formulacao	soja	soja_dessecação	soja_omg	soja_spd	milho	milho_ogm	milho_spd	algodão_spd	algodão_ogm	algodão	sorgo	algodão_ogm	café_spd	café	trigo_spd	trigo	gramíneas_forrageiras	arroz	arroz_sequeiro	arroz_irrig_spd	arroz_irrigado	arroz_spd	feijão	aveia_preta	Feijão_spd	feijão_vagem	feijão_fava	feijão_guandu	feijão_mungo	feijão_caupi	grão_de_bico	azevém	aveia	lentilha	cana_spd	cana_soca	cana_maturação	Cana_dessecação	cana_roughing	cana	aveia_preta	mandioca	pastagem_spd	pastagem	vazio_sanitário	manejo_outonal	amendoim	centeio	cevada	canola	abacaxi	citros	citros_spd	melão	eucalipto_implantação_da_flores	Eucalipto_Rebrote	eucalipto	pinus_implantação_da_flores	pinus	seringueira	acácia_negra	estrelicia	girassol	quiabo	tomate	alho	banana	cebola	cenoura	batata_dessecação	batata	alface	repolho	jiló	pimenta	pimentão	brocolis	couve-flor	beterraba	batata-doce	berinjela	batata-salsa	fumo	morango	camomila	gengibre	batata_yacon	alfafa	salsa	coentro	braquiaria	aveia	milheto	inhame	ervilha	sorgo	caju	goiaba	manga	mangaba	pera	uva	maçã	ameixa	mamão	melancia	pessego	nectarina	dendê	duboisia	triticale	crisântemo	centeio	cacau	não_agrícola	seringueira	escarola	sisal	côco	momona	caqui	açaí	cará	nabo	mandioquinha-salsa	carambola	rabanete	figo	castanha_do_pará	macadâmia	pinhão	noz_pecã	pupunha	gladíolo	vagem	área_de_pousio	área_não_cultivada	abacate	gramados	espinafre	manejo_outonal	rosa	todas_as_culturas_com_ocorrência_do_alvo_biológico	tabaco	tratamento_do_solo
137	Clorimuron CCAB 250 WG	CCAB Agro S.A. – Sao Paulo	clorimurom-etilico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/clorimuron-ccab-250-wg_8521.html	1411	250		Granulado Dispersível (WG)	x																																																																																																																																																
138	Clorimuron Master Nortox	Nortox S.A. - Arapongas	clorimurom-etilico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/clorimuron-master-nortox_3628.html	902	250		Granulado Dispersível (WG)	x													x																																						x					x		x																																																																																						
139	Clorimuron Prentiss	Prentiss Química Ltda. - Campo Largo/PR	clorimurom-etilico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/clorimuron-prentiss_8098.html	7108	250		Granulado Dispersível (WG)	x			x																																																																																																																																													
140	Coact	Dow Agrosciences Industrial Ltda. - Sao Paulo	diclosulam (sulfonanilida triazolopirimidina)	https://www.agrolink.com.br/agrolinkfito/produto/coact_7025.html	5199	840		Granulado Dispersível (WG)																																								x																																																																																																									
141	Coliseo	ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba	Atrazina (triazina) + simazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/coliseo_10976.html	32619	250		Suspensão Concentrada (SC)					x																																																																																																																																												
142	Combine 500 SC	Proventis Lifescience Defensivos Agricolas Ltda	tebutiurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/combine-500-sc_218.html	718701	500		Suspensão Concentrada (SC)																																								x																																																																																																									
143	Commence	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)	https://www.agrolink.com.br/agrolinkfito/produto/commence_7327.html	4907	500		Concentrado Emulsionável (EC)																					x																																																																																																																												
144	Compass	Albaugh Agro Brasil Ltda.- Sao Paulo	Ametrina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/compass_10913.html	16419	500		Suspensão Concentrada (SC)					x									x																										x																																																																																																									
145	Compete	Proventis Lifescience Defensivos Agricolas Ltda	Mesotriona (Tricetona)	https://www.agrolink.com.br/agrolinkfito/produto/compete_10465.html	26817	480		Suspensão Concentrada (SC)					x																																			x																																																																																																									
146	Confidence	Ouro Fino Química S.A. - Uberaba	diurom (ureia) + hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/confidence_7338.html	8607	468 + 132		Granulado Dispersível (WG)																																								x																																																																																																									
147	Conquest	Adama Brasil S.A. - Londrina	clorimurom-etilico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/conquest_6030.html	2501	250		Pó molhável (WP)	x																																																																																																																																																
148	Contain	Basf S.A. – Sao Paulo	imazapir (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/contain_2947.html	128895	266,3		Concentrado Solúvel (SL)																																								x																																																																																																									
149	Coriscobr	Ouro Fino Química S.A. - Uberaba	sulfentrazona (triazolona)	https://www.agrolink.com.br/agrolinkfito/produto/coriscobr_11043.html	320	500		Suspensão Concentrada (SC)	x													x																										x											x	x																															x																																																														
150	CoronelBR	Ouro Fino Química S.A. - Uberaba	metribuzim (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/coronelbr_8907.html	7913	480		Suspensão Concentrada (SC)	x																																							x		x																							x						x																																																																										
151	Cortador 806 SL	AllierBrasil Agro Ltda.	2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/cortador-806-sl_10408.html	16817	806	670	Concentrado Solúvel (SL)	x				x									x		x		x																						x				x																																																																																																					
152	Coyote	Adama Brasil S.A. - Londrina	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/coyote_7348.html	1797	500		Suspensão Concentrada (SC)					x																																																																																																																																												
153	Coyote WG	Adama Brasil S.A. - Londrina	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/coyote-wg_8103.html	10507	900		Granulado Dispersível (WG)					x						x																																																																																																																																						
154	Crater	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/crater_8104.html	13108	76 + 289	64 + 240	Concentrado Solúvel (SL)																																								x				x																																																																																																					
155	Credit	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	glifosato (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/credit_8772.html	16712	480		Concentrado Solúvel (SL)	x		x		x									x		x		x																						x				x								x					x		x								x																																		x	x	x	x			x	x						x			x																												
156	Credit 480	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	glifosato (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/credit-480_10366.html	9617	480		Concentrado Solúvel (SL)	x		x		x									x		x		x																						x				x								x					x		x								x																																		x	x	x	x			x	x						x																															
157	Creox	Sipcam Nichino Brasil S.A. - Uberaba/MG	sulfentrazona (triazolona)	https://www.agrolink.com.br/agrolinkfito/produto/creox_10356.html	11317	500		Suspensão Concentrada (SC)	x																																							x											x	x																															x																																																														
158	Crescendo	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	Triclopir-butotilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/crescendo_8105.html	2009	680		Concentrado Emulsionável (EC)																																												x																																																																																																					
159	Creta	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	Fluroxipir-meptilico (Acido piridiniloxialcanoico) + picloram (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/creta_10637.html	12618	115 + 129,5		Microemulsão (ME)																	x																											x																																																																																																					
160	Crucial	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	glifosato-sal de isopropilamina (glicina substituida) + glifosato-sal de potássio (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/crucial_8686.html	8912	400,8 + 297,75		Concentrado Solúvel (SL)	x		x		x	x				x				x		x		x			x		x																	x				x								x					x		x																																											x	x																																										
161	Cultifix	Basf S.A. – Sao Paulo	imazapir (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/cultifix_10219.html	4216	480		Concentrado Solúvel (SL)	x																																																																																																																																																
162	Daga	Tecnomyl Brasil Distribuidora de Produtos Agricolas Ltda - Foz do Iguaçu	haloxifope-P-metilico (Acido ariloxifenoxipropionico)	https://www.agrolink.com.br/agrolinkfito/produto/daga_10496.html	29417	124,7		Concentrado Emulsionável (EC)	x									x													x																																																																																																																										
163	Danado	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/danado_8585.html	13611	388		Concentrado Solúvel (SL)																																												x																																																																																																					
164	Decisive	Monsanto do Brasil Ltda - Sao Paulo	Glifosato-Sal de Di-amonio (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/decisive_10833.html	1219	577	480	Concentrado Solúvel (SL)	x				x					x				x		x		x																																		x					x																																																																																								
165	Decorum	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/decorum_3704.html	115	806	670	Concentrado Solúvel (SL)	x				x									x				x																						x				x																																																																																																					
166	DemolidorBR	Ouro Fino Química S.A. - Uberaba	diurom (ureia) + hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/demolidorbr_8471.html	8210	488 + 142		Pó molhável (WP)																																				x				x																																																																																																									
167	Dessecan	Adama Brasil S.A. - Londrina	MSMA (organoarsenico)	https://www.agrolink.com.br/agrolinkfito/produto/dessecan_56.html	478507	480		Concentrado Solúvel (SL)										x				x																										x																																																																																																									
168	Dessicash	Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA	Dibrometo de diquate (bipiridílio)	http://www.adapar.pr.gov.br/arquivos/File/defis/DFI/Bulas/Outros/DESSICASH110719.pdf	3515	200		Concentrado Solúvel (SL)	x																																																																																																																																																
169	Dessicash 200 SL	Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA	Dibrometo de diquate (bipiridílio)	https://www.agrolink.com.br/agrolinkfito/produto/dessicash-200-sl_10307.html	25216	200		Concentrado Solúvel (SL)	x																																																																																																																																																
170	Destro	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + Fluroxipir-meptilico (Acido piridiniloxialcanoico) + picloram (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/destro_11090.html	4920	59,17 + 144,09 + 115,74	50 + 100 + 100	Emulsão Óleo em Água (EW)																																												x																																																																																																					
171	Dexa WG	Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA	diurom (ureia) + hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/dexa-wg_10787.html	36018	132 + 468		Granulado Dispersível (WG)																																								x																																																																																																									
172	Dez	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/dez_8122.html	5009	806	670	Concentrado Solúvel (SL)	x				x									x				x																						x				x																																																																																																					
173	Dez Gold	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	2,4-D sal sodico (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/dez-gold_10951.html	25419	880	800	Pó solúvel (SP)	x				x									x				x																						x																																																																																																									
174	Dicamax	Monsanto do Brasil Ltda - Sao Paulo	Dicamba (Acido Benzóico)	https://www.agrolink.com.br/agrolinkfito/produto/dicamax_10280.html	17816	480		Concentrado Solúvel (SL)	x		x							x		x																																																																																																																																					
175	Dihex	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	diurom (ureia) + hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/dihex_7796.html	108	468 + 132		Granulado Dispersível (WG)																																								x																																																																																																									
176	Dinamaz 70 WG	FMC Química do Brasil Ltda. - Campinas	imazetapir (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/dinamaz-70-wg_5733.html	400	700		Granulado Dispersível (WG)	x																																																																																																																																																
177	Dinamic	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	amicarbazona (triazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/dinamic_7136.html	10601	700		Granulado Dispersível (WG)																																								x																																																																																																									
178	Dinaxine	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	2,4-D amina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/dinaxine_4883.html	215	806		Concentrado Solúvel (SL)	x				x									x		x		x																						x				x																																																																																																					
179	Diox	Ouro Fino Química S.A. - Uberaba	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/diox_8574.html	812	500		Suspensão Concentrada (SC)										x				x																										x																																																																																																									
180	Diquash 200 SL	Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA	Dibrometo de diquate (bipiridilio)	https://www.agrolink.com.br/agrolinkfito/produto/diquash-200-sl_10227.html	3516	200		Concentrado Solúvel (SL)	x																																																																																																																																																
181	Diquat 200 SL Rainbow	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	Dibrometo de diquate (bipiridilio)	https://www.agrolink.com.br/agrolinkfito/produto/diquat-200-sl-rainbow_10417.html	19217	200		Concentrado Solúvel (SL)	x																																																																																																																																																
182	Diquat CCAB 200 SL	CCAB Agro S.A. – Sao Paulo	Dibrometo de diquate (bipiridilio)	https://www.agrolink.com.br/agrolinkfito/produto/diquat-ccab-200-sl_10912.html	13819	200		Concentrado Solúvel (SL)	x																																																																																																																																																
183	Direct	Monsanto do Brasil Ltda - Sao Paulo	glifosato-sal de amônio (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/direct_7206.html	6199	792,5	720	Granulado Dispersível (WG)	x													x		x		x																						x				x								x															x																																		x	x	x	x			x	x						x																															
184	Direx 500 SC	Adama Brasil S.A. - Londrina	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/direx-500-sc_7580.html	388703	500		Suspensão Concentrada (SC)										x				x																																					x	x																																																														x																															
185	Discover 500 WP	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona) + hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/discover-500-wp_7547.html	406	400 + 100		Pó molhável (WP)																																								x																																																																																																									
186	Disparo	Dow Agrosciences Industrial Ltda. - Sao Paulo	picloram (acido piridinocarboxilico) + 2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/disparo_8406.html	2310	26,7 + 433,7	22,5 + 360	Concentrado Solúvel (SL)																																												x																																																																																																					
187	Disparo Ultra-S	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + 2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/disparo_8406.html	4720	14,62 + 512,05	12 + 425	Concentrado Solúvel (SL)																																												x																																																																																																					
188	Diurex Agricur 500 SC	Adama Brasil S.A. - Londrina	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/diurex-agricur-500-sc_10336.html	1098203	500		Suspensão Concentrada (SC)														x																										x																																																																																																									
189	Diurex Agricur 800 SC	Adama Brasil S.A. - Londrina	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/diurex-agricur-800-sc_7482.html	1106	800		Suspensão Concentrada (SC)																																								x																																																																																																									
190	Diurex WG	Adama Brasil S.A. - Londrina	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/diurex-wg_7417.html	7307	900		Granulado Dispersível (WG)								x		x			x	x																					x					x												x																																																																																													
191	Diuron 500 SC Milenia	Adama Brasil S.A. - Londrina	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/diuron-500-sc-milenia_7439.html	408905	500		Suspensão Concentrada (SC)										x																														x											x																																																																																														
192	Diuron 500 SC Rainbow	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/diuron-500-sc-rainbow_10872.html	8319	500		Suspensão Concentrada (SC)										x				x																										x											x	x																																																														x																															
193	Diuron Fersol 500 SC	Ameribras Indústria e Comércio Ltda.	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/diuron-fersol-500-sc_5758.html	1238803	500		Suspensão Concentrada (SC)										x				x																										x											x	x																																																														x																															
194	Diuron JI 500 SC	Iharabras S.A. Indústria Químicas - Sorocaba	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/diuron-ji-500-sc_10909.html	13519	500		Suspensão Concentrada (SC)										x				x																										x											x	x																																																														x																															
195	Diuron Nortox	Nortox S.A. - Arapongas	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/diuron-nortox_42.html	988692	800		Pó molhável (WP)										x				x																										x											x	x															x																					x														x												x		x																													
196	Diuron Nortox 500 SC	Nortox S.A. - Arapongas	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/diuron-nortox-500-sc_2935.html	8895	500		Suspensão Concentrada (SC)										x				x																										x												x																																																																																													
197	Dizone	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	diurom (ureia) + hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/dizone_7861.html	19707	468 + 132		Granulado Dispersível (WG)																																								x																																																																																																									
198	DMA 806 BR	Dow Agrosciences Industrial Ltda. - Sao Paulo	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/dma-806-br_222.html	2108604	806	670	Concentrado Solúvel (SL)	x				x											x		x																						x				x																																																																																																					
199	Doble	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	Acifluorfem-sodico (eteretilica) + bentazona (benzotiadiazinona)	https://www.agrolink.com.br/agrolinkfito/produto/doble_2941.html	1448594	80 + 300		Concentrado Solúvel (SL)	x																																																																																																																																																
200	Dominum	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + Fluroxipir-meptilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/dominum_7262.html	7206	40 + 115,3		Emulsão Óleo em Água (EO)																																												x																																																																																																					
201	Dominum XT	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + picloram (acido piridinocarboxilico) + Triclopir-butotilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/dominum-xt_10628.html	11218	59,17 + 115,74 + 208,62	50 + 100 + 150	Emulsão Óleo em Água (EW)																																												x																																																																																																					
202	Dontor	Dow Agrosciences Industrial Ltda. - Sao Paulo	picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/dontor_223.html	2028702	26,7 + 433,7	22,5 + 360	Concentrado Solúvel (SL)																																								x				x																																																																																																					
203	Dorado	Adama Brasil S.A. - Londrina	Triclopir-butotilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/dorado_10133.html	6415	667	480	Concentrado Emulsionável (EC)																																												x																																																																																																					
204	Douro 750 WG	Albaugh Agro Brasil Ltda.- Sao Paulo	hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/douro-750-wg_10903.html	12619	750		Granulado Dispersível (WG)																																								x																																																																																																									
205	Draxx	Ouro Fino Química S.A. - Uberaba	sulfentrazona (triazolona)	https://www.agrolink.com.br/agrolinkfito/produto/draxx_11029.html	45219	500		Suspensão Concentrada (SC)	x													x																										x											x	x																															x																																																														
206	Drible	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	lactofem (eteretilica)	https://www.agrolink.com.br/agrolinkfito/produto/drible_7473.html	5007	240		Concentrado Emulsionável (EC)	x																																																																																																																																																
207	Dropp Ultra SC	Bayer S.A. - Sao Paulo/ SP	diurom (ureia) + tidiazurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/dropp-ultra-sc_3580.html	3698	60 + 120		Suspensão Concentrada (SC)										x																																																																																																																																							
208	Druid 750 WG	Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.	hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/druid-750-wg_8367.html	10009	750		Granulado Dispersível (WG)																																								x																																																																																																									
209	Dual Gold	Syngenta Proteção de Cultivos Ltda. – Sao Paulo	metolacloro (cloroacetanilida)	https://www.agrolink.com.br/agrolinkfito/produto/dual-gold_8774.html	8499	960		Concentrado Emulsionável (EC)	x				x					x	x												x																	x		x								x													x																																							x																																											
210	Dual Gold 915 EC	Syngenta Proteção de Cultivos Ltda. – Sao Paulo	S-metolacloro (cloroacetanilida)	https://www.agrolink.com.br/agrolinkfito/produto/dual-gold-915-ec_8611.html	5411	915		Concentrado Emulsionável (EC)					x																																																																																																																																												
211	Dublon SC	Avgust Crop Protection Importação e Exportação Ltda.	nicossulfurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/dublon-sc_10270.html	16516	40		Suspensão Concentrada (SC)					x																																																																																																																																												
212	Duo	Prentiss Química Ltda. - Campo Largo/PR	diurom (ureia) + hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/duo_10371.html	13217	468 + 132		Granulado Dispersível (WG)																																								x																																																																																																									
213	Duozina	Agro Import do Brasil Ltda.	Atrazina (triazina) + simazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/duozina_11035.html	46419	250 + 250		Suspensão Concentrada (SC)					x																																																																																																																																												
214	Egan	Albaugh Agro Brasil Ltda.- Sao Paulo	Dibrometo de diquate (bipiridílio)	https://www.agrolink.com.br/agrolinkfito/produto/egan_10421.html	19417	200 + 200		Concentrado Solúvel (SL)	x																																																																																																																																																
215	Electro	Ouro Fino Química S.A. - Uberaba	clomazona (isoxazolidinona)	https://www.agrolink.com.br/agrolinkfito/produto/electro_10830.html	44318	500		Concentrado Emulsionável (EC)	x																																							x																																																																																																									
216	Enlist Colex-D	Dow Agrosciences Industrial Ltda. - Sao Paulo	2,4-D Sal de Colina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/enlist-colex-d_10893.html	10719	668,62	456	Concentrado Solúvel (SL)	x				x																																																																																																																																												
217	Enlistduo Colex-D	Dow Agrosciences Industrial Ltda. - Sao Paulo	Glifosato Sal de Dimetilamina (glicina substituida) + 2,4-D Sal de Colina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/enlistduo-colex-d_10381.html	16617	259,66 + 285,92	205 + 195	Concentrado Solúvel (SL)	x				x																																																																																																																																												
218	Entoar	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	tebutiurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/entoar_11033.html	45619	800		Granulado Dispersível (WG)																																								x																																																																																																									
219	Envoke	Syngenta Proteção de Cultivos Ltda. – Sao Paulo	trifloxissulfurom-sodico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/envoke_5057.html	7001	750		Granulado Dispersível (WG)										x																														x																																																																																																									
220	Equip Plus	Bayer S.A. - Sao Paulo/ SP	foramsulfurom (sulfonilurea) + iodosulfurom-metilico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/equip-plus_2981.html	11401	300 + 20		Granulado Dispersível (WG)					x																																																																																																																																												
221	Escudo	Adama Brasil S.A. - Londrina	clomazona (isoxazolidinona)	https://www.agrolink.com.br/agrolinkfito/produto/escudo_8011.html	4608	500		Concentrado Emulsionável (EC)																		x																						x																																																																																																									
222	Escudo 500 EC	Adama Brasil S.A. - Londrina	clomazona (isoxazolidinona)	https://www.agrolink.com.br/agrolinkfito/produto/escudo-500-ec_8329.html	13809	500		Concentrado Emulsionável (EC)																					x																			x																																																																																																									
223	Esplanade	Bayer S.A. - Sao Paulo/ SP	indaziflam ( Alquilazina)	https://www.agrolink.com.br/agrolinkfito/produto/esplanade_10201.html	4416	500		Suspensão Concentrada (SC)																																																									x		x																																																																																						
224	Esplanade Optima	Bayer S.A. - Sao Paulo/ SP	indaziflam ( Alquilazina) + Iodossulfurom-Metílico-sodico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/esplanade-optima_10547.html	39117	200 + 20		Granulado Dispersível (WG)																																																									x		x																																																																																						
225	Exemplo	Albaugh Agro Brasil Ltda.- Sao Paulo	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/exemplo_10879.html	9119	806	670	Concentrado Solúvel (SL)	x				x									x				x																						x				x																																																																																																					
226	Explorer 500 SC	FMC Química do Brasil Ltda. - Campinas	sulfentrazona (triazolona)	https://www.agrolink.com.br/agrolinkfito/produto/explorer-500-sc_7408.html	5407	500		Suspensão Concentrada (SC)	x			x										x																										x											x	x																															x																																																														
227	Extrazin SC	Oxon Brasil Defensivos Agricolas Ltda.	Atrazina (triazina) + simazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/extrazin-sc_3023.html	2008606	250 + 250		Suspensão Concentrada (SC)					x																																																																																																																																												
228	Fabian WG	Avgust Crop Protection Importação e Exportação Ltda.	clorimurom-etilico (sulfonilurea) + imazetapir (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/fabian-wg_10765.html	32018	150 + 450		Granulado Dispersível (WG)	x																																																																																																																																																
229	Facca	BRA Defensivos Agricolas Ltda. (Piracicaba)	picloram (acido piridinocarboxilico) + 2,4-D-trietanolamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/facca_8620.html	2612	103 + 406		Concentrado Solúvel (SL)																																												x													x																																																																																								
230	Facero SC	Iharabras S.A. Indústria Químicas - Sorocaba	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/facero-sc_10303.html	23016	500		Suspensão Concentrada (SC)					x						x																													x																																																																																																									
231	Facet	Basf S.A. – Sao Paulo	quincloraque (Acido quinolinocarboxílico)	https://www.agrolink.com.br/agrolinkfito/produto/facet_6118.html	389004	500		Pó molhável (WP)																		x																																																																																																																															
232	Famoso	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (acido piridinocarboxilico) + 2,4-D-trietanolamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/famoso_8911.html	10213	64 + 406	103 + 240	Concentrado Solúvel (SL)																		x																						x				x																																																																																																					
233	Farmozine	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/farmozine_10926.html	20419	500		Suspensão Concentrada (SC)					x						x																													x																																																																																																									
234	Fascinate BR	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	Glufosinato - sal de amônio (homoalanina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/fascinate-br_10345.html	5817	200		Concentrado Solúvel (SL)	x				x					x				x		x							x			x	x	x	x	x	x			x						x												x					x										x				x	x	x																						x							x	x				x	x																																					
235	Fason	Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA	nicossulfurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/fason_8726.html	12712	40		Suspensão Concentrada (SC)					x																																																																																																																																												
236	Field	ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/field_8979.html	5614	806		Concentrado Solúvel (SL)				x	x											x		x			x																			x				x																																																																																																					
237	Finale	Basf S.A. – Sao Paulo	Glufosinato - sal de amônio (homoalanina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/finale_116.html	691	200		Concentrado Solúvel (SL)	x				x					x				x		x							x																	x									x			x					x										x				x	x	x																													x	x				x	x																																					
