produto_comercial,empresa,numero,ing_ativo
Starane 200,Dow Agrosciences Industrial Ltda. - São Paulo,5394,Fluroxipir-meptílico (ácido piridiniloxialcanóico)
Station 240 SL,CHDS do Brasil Comércio de Insumos Agrícolas Ltda,14718,picloram (ácido piridinocarboxílico)
Stinger WG,Monsanto do Brasil Ltda - São Paulo,4714,glifosato-sal de amônio (glicina substituída)
Stopper,Dow Agrosciences Industrial Ltda. - São Paulo,5597,Fluroxipir-meptílico (ácido piridiniloxialcanóico) + picloram-triisopropanolamina (ácido piridinocarboxílico)
Sumô,Pilarquim Br Comercial Ltda.- São Paulo,14308,glifosato-sal de isopropilamina (glicina substituída)
Sweep Off,Rainbow Defensivos Agrícolas Ltda.- Porto Alegre,11919,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
Synero,Dow Agrosciences Industrial Ltda. - São Paulo,21819,"2,4-d-triisopropanolamina (ácido ariloxialcanóico) + Aminopiralide (ácido piridiniloxialcanóico)"
Teardown,Sinon do Brasil Ltda. - Porto Alegre /RS.,10312,glifosato-sal de isopropilamina (glicina substituída)
Tecnup,Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu,28918,glifosato (glicina substituída)
Templo,Ouro Fino Química S.A. - Uberaba,34118,glifosato-sal de isopropilamina (glicina substituída) + glifosato-sal de potássio (glicina substituída)
Texas,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,18407,picloram (ácido piridinocarboxílico)
Tibet,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,10918,Fluroxipir-meptílico (ácido piridiniloxialcanóico) + picloram (ácido piridinocarboxílico)
Toco,Stockton Agrimor do Brasil Ltda.,2008,picloram (ácido piridinocarboxílico)
Togar TB,Dow Agrosciences Industrial Ltda. - São Paulo,6007,picloram (ácido piridinocarboxílico) + Triclopir-butotílico (ácido piridiniloxialcanóico)
Topatudo,Agro Import do Brasil Ltda.,1719,glifosato-sal de isopropilamina (glicina substituída)
Topinam,Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu,28319,Triclopir-butotílico (ácido piridiniloxialcanóico) + Triclopir-butotílico (ácido piridiniloxialcanóico)
Tordon,Dow Agrosciences Industrial Ltda. - São Paulo,358709,"2,4-D-trietanolamina (ácido ariloxialcanóico) + picloram-trietanolamina (ácido piridinocarboxílico)"
Tordon XT,Dow Agrosciences Industrial Ltda. - São Paulo,6215,"2,4-d-triisopropanolamina (ácido ariloxialcanóico) + Aminopiralide (ácido piridiniloxialcanóico)"
TordonUltra-S,Dow Agrosciences Industrial Ltda. - São Paulo,4420,"2,4-D-dimetilamina (ácido ariloxialcanóico) + Aminopiralide (ácido piridiniloxialcanóico)"
Tractor,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,2708,"2,4-D-trietanolamina (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Triclon,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,17208,Triclopir-butotílico (ácido piridiniloxialcanóico)
Triclopir CCAB 480 EC,CCAB Agro S.A. – São Paulo,11719,Triclopir-butotílico (ácido piridiniloxialcanóico)
Triclopir F Nortox,Nortox S.A. - Arapongas,18120,Fluroxipir-meptílico (ácido piridiniloxialcanóico) + Triclopir-butotílico (ácido piridiniloxialcanóico)
Triclopyr 480 Volagro,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,309,Triclopir-butotílico (ácido piridiniloxialcanóico)
Troller,Yonon Biociências e Defensivos Agrícolas Ltda.,24218,"2,4-D (ácido ariloxialcanóico)"
TronadorUltra-S,Dow Agrosciences Industrial Ltda. - São Paulo,4520,"2,4-D-dimetilamina (ácido ariloxialcanóico) + Aminopiralide (ácido piridiniloxialcanóico)"
Trop SL,Adama Brasil S.A. - Londrina,13318,glifosato (glicina substituída)
Tropero,Stockton Agrimor do Brasil Ltda.,2808,picloram (ácido piridinocarboxílico)
Troya,Biesterfeld do Brasil Ind. e Com. de Prod. Químicos Ltda.,33718,glifosato-sal de isopropilamina (glicina substituída)
Trueno,Dow Agrosciences Industrial Ltda. - São Paulo,9911,Aminopiralide (ácido piridiniloxialcanóico) + Fluroxipir-meptílico (ácido piridiniloxialcanóico)
Trueno XT,Dow Agrosciences Industrial Ltda. - São Paulo,11418,Aminopiralide (ácido piridiniloxialcanóico) + picloram (ácido piridinocarboxílico) + Triclopir-butotílico (ácido piridiniloxialcanóico)
TruenoXT-S,Dow Agrosciences Industrial Ltda. - São Paulo,4920,Aminopiralide (ácido piridiniloxialcanóico) + Fluroxipir-meptílico (ácido piridiniloxialcanóico) + picloram (ácido piridinocarboxílico)
Trunker,Dow Agrosciences Industrial Ltda. - São Paulo,1614,Triclopir-butotílico (ácido piridiniloxialcanóico)
Truper,Dow Agrosciences Industrial Ltda. - São Paulo,6706,Fluroxipir-meptílico (ácido piridiniloxialcanóico) + Triclopir-butotílico (ácido piridiniloxialcanóico)
Tucson,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,18707,"2,4-D-trietanolamina (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Turuna,Stockton Agrimor do Brasil Ltda.,14207,"2,4-D (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
U 46 BR,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,1803,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
"U 46 D-Fluid 2,4-D",Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,4118103,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
Verlon,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,31518,"2,4-D (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Zafera,ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba,5517,glifosato-sal de amônio (glicina substituída)
Zapp WG 720,Cropchem Ltda,9315,glifosato-sal de amônio (glicina substituída)
Zartan,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,4607,metsulfurom-metílico (sulfoniluréia)
Zura 806 SL,AllierBrasil Agro Ltda.,20816,"2,4-D (ácido ariloxialcanóico)"
"2,4-D Agroimport",Agro Import do Brasil Ltda.,41418,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
"2,4-D Amina 840 SL",Albaugh Agro Brasil Ltda.- São Paulo,5002,"Sal de Dimetilamina do Ácido 2,4-D (ácido ariloxialcanóico)"
"2,4-D CROP 806 SL",Solus Industria Quimica Ltda. - Jandaia do Sul,21316,"2,4-D (ácido ariloxialcanóico)"
"2,4-D Fersol",Ameribrás Indústria e Comércio Ltda.,1228803,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
"2,4-D Nortox",Nortox S.A. - Arapongas,3009,"2,4-D (ácido ariloxialcanóico)"
"2,4-D Nortox 970 WG",Nortox S.A. - Arapongas,2920,"2,4-D (ácido ariloxialcanóico)"
"2,4-D Super Amine SG",Rainbow Defensivos Agrícolas Ltda.- Porto Alegre,42318,"2,4-D (ácido ariloxialcanóico)"
"2,4-D (240) + Picloram (64) SL",CCAB Agro S.A. – São Paulo,31918,"2,4-D (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
"2,4-D 806 RN",Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,1215,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
"2,4-D 806 SL Alamos",Alamos do Brasil Ltda.,6715,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
