id_herb,produto_comercial,empresa,ingrediente,link,registro,dose_(g/L)_(g/kg),equivalente_acido,Formulacao,culturas,bula,form_sigla,form_tipo,dose_gkg,dose_gL,ia_1,ia_2,ia_3,dose_gkg_ia_1
428,Lumica,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Mesotriona (Tricetona),https://www.agrolink.com.br/agrolinkfito/produto/lumica_8736.html,12512,480,NA,suspensão concentrada (sc),cana,x,sc,líquido,NA,480,Mesotriona ,,,NA
429,Mademato,Industria Quimica Dipil Ltda,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/mademato_7153.html,11006,480,NA,concentrado solúvel (sl),soja,x,sl,líquido,NA,480,glifosato ,,,NA
429,Mademato,Industria Quimica Dipil Ltda,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/mademato_7153.html,11006,480,NA,concentrado solúvel (sl),milho,x,sl,líquido,NA,480,glifosato ,,,NA
429,Mademato,Industria Quimica Dipil Ltda,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/mademato_7153.html,11006,480,NA,concentrado solúvel (sl),algodão,x,sl,líquido,NA,480,glifosato ,,,NA
429,Mademato,Industria Quimica Dipil Ltda,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/mademato_7153.html,11006,480,NA,concentrado solúvel (sl),café,x,sl,líquido,NA,480,glifosato ,,,NA
429,Mademato,Industria Quimica Dipil Ltda,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/mademato_7153.html,11006,480,NA,concentrado solúvel (sl),arroz,x,sl,líquido,NA,480,glifosato ,,,NA
429,Mademato,Industria Quimica Dipil Ltda,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/mademato_7153.html,11006,480,NA,concentrado solúvel (sl),feijão,x,sl,líquido,NA,480,glifosato ,,,NA
429,Mademato,Industria Quimica Dipil Ltda,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/mademato_7153.html,11006,480,NA,concentrado solúvel (sl),cana,x,sl,líquido,NA,480,glifosato ,,,NA
429,Mademato,Industria Quimica Dipil Ltda,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/mademato_7153.html,11006,480,NA,concentrado solúvel (sl),citros,x,sl,líquido,NA,480,glifosato ,,,NA
429,Mademato,Industria Quimica Dipil Ltda,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/mademato_7153.html,11006,480,NA,concentrado solúvel (sl),eucalipto,x,sl,líquido,NA,480,glifosato ,,,NA
429,Mademato,Industria Quimica Dipil Ltda,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/mademato_7153.html,11006,480,NA,concentrado solúvel (sl),uva,x,sl,líquido,NA,480,glifosato ,,,NA
429,Mademato,Industria Quimica Dipil Ltda,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/mademato_7153.html,11006,480,NA,concentrado solúvel (sl),maçã,x,sl,líquido,NA,480,glifosato ,,,NA
430,Madison,Nortox S.A. - Arapongas,Mesotriona (Tricetona),http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons,170215,480,NA,suspensão concentrada (sc),milho,x,sc,líquido,NA,480,Mesotriona ,,,NA
430,Madison,Nortox S.A. - Arapongas,Mesotriona (Tricetona),http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons,170215,480,NA,suspensão concentrada (sc),cana,x,sc,líquido,NA,480,Mesotriona ,,,NA
431,Magister,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),https://www.agrolink.com.br/agrolinkfito/produto/magister_8009.html,6208,500,NA,concentrado emulsionável (ec),soja,x,ec,líquido,NA,500,clomazona ,,,NA
431,Magister,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),https://www.agrolink.com.br/agrolinkfito/produto/magister_8009.html,6208,500,NA,concentrado emulsionável (ec),algodão,x,ec,líquido,NA,500,clomazona ,,,NA
431,Magister,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),https://www.agrolink.com.br/agrolinkfito/produto/magister_8009.html,6208,500,NA,concentrado emulsionável (ec),arroz,x,ec,líquido,NA,500,clomazona ,,,NA
431,Magister,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),https://www.agrolink.com.br/agrolinkfito/produto/magister_8009.html,6208,500,NA,concentrado emulsionável (ec),cana,x,ec,líquido,NA,500,clomazona ,,,NA
432,Magneto SC,Iharabras S.A. Indústria Químicas - Sorocaba,amicarbazona (triazolinona),https://www.agrolink.com.br/agrolinkfito/produto/magneto-sc_10928.html,21319,500,NA,suspensão concentrada (sc),cana,x,sc,líquido,NA,500,amicarbazona ,,,NA
433,MagnusBR,Ouro Fino Química S.A. - Uberaba,hexazinona (triazinona),https://www.agrolink.com.br/agrolinkfito/produto/magnusbr_8427.html,3610,800,NA,pó molhável (wp),cana,x,wp,seco,800,NA,hexazinona ,,,800
434,Mannejo,Dow Agrosciences Industrial Ltda. - Sao Paulo,"picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/mannejo_227.html,6398,40 + 120,40 + 120,concentrado solúvel (sl),pastagem,x,sl,líquido,NA,40 + 120,picloram ,"2,4-D ",,NA
435,Marte WG,BRA Defensivos Agricolas Ltda. (Piracicaba),diurom (ureia) + hexazinona (triazinona),https://bra-agroquimica.com.br/produtos/herbicidas/marte-wg/,21017,468 + 132,NA,granulado dispersível (wg),cana,x,wg,seco,468 + 132,NA,diurom ,hexazinona ,,468 + 132
436,Mattor,Tecnomyl Brasil Distribuidora de Produtos Agricolas Ltda - Foz do Iguaçu,Fluroxipir-meptilico (Acido piridiniloxialcanoico) + picloram (acido piridinocarboxilico),https://www.agrolink.com.br/agrolinkfito/produto/mattor_10938.html,22319,115.2 + 143.4,80 + 80,microemulsão (me),pastagem,x,me,líquido,NA,115.2 + 143.4,Fluroxipir-meptilico ,picloram ,,NA
437,Maxizato,Agro Import do Brasil Ltda.,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/maxizato_10792.html,36518,792.5,720,granulado dispersível (wg),soja,x,wg,seco,792.5,NA,glifosato ,,,792.5
437,Maxizato,Agro Import do Brasil Ltda.,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/maxizato_10792.html,36518,792.5,720,granulado dispersível (wg),milho,x,wg,seco,792.5,NA,glifosato ,,,792.5
437,Maxizato,Agro Import do Brasil Ltda.,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/maxizato_10792.html,36518,792.5,720,granulado dispersível (wg),algodão,x,wg,seco,792.5,NA,glifosato ,,,792.5
437,Maxizato,Agro Import do Brasil Ltda.,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/maxizato_10792.html,36518,792.5,720,granulado dispersível (wg),café,x,wg,seco,792.5,NA,glifosato ,,,792.5
437,Maxizato,Agro Import do Brasil Ltda.,glifosato (glicina substituida),https://www.agrolink.com.br/agrolinkfito/produto/maxizato_10792.html,36518,792.5,720,granulado dispersível (wg),trigo,x,wg,seco,792.5,NA,glifosato ,,,792.5
